text,philosopher,work,original_idx
"Well then, let's see what we can do and thereafter profit will flow alongside wages, side by side, reflux and afflux.",Deleuze,Anti-Oedipus,216986
"The life of the clan is thus maintained and extended through them; children, herds, harvests, tools, and the whole prosperity of the group of which they are the soul depend on their work and their magic virtues.",Beauvoir,The Second Sex,345825
"Our Nothing, as the Nothing of the This, preserves its immediacy and is itself sensuous, but it is a universal immediacy.",Hegel,The Phenomenology Of Spirit,278915
"We are here overlooking the fact that the possibility of a concept of an end itself seems to be conditioned by cognition of an object outside of us and by cognition of the latter's form, as something that exists without any help from us; for this is merely what is asserted by ordinary consciousness, and we do not yet know to what extent it will be confirmed.",Fichte,The System Of Ethics,263302
"Thus one and the same natural science is interpreted in materialistic, spiritualistic, dualistic, psycho monistic, positivistic, and many other ways, depending upon what interpretation is thought to be the necessary conclusion of such reflections.",Husserl,The Idea Of Phenomenology,231740
"Somehow or other, we must see that these charms constantly change their form; at all costs they must be continually varied, so that the performers always long to sing the songs, and find perpetual pleasure in them.",Plato,Plato - Complete Works,30792
"Whereby, perhaps, it will appear that our idea of is not so settled and clear as to deserve to be thought innate in us.",Locke,Essay Concerning Human Understanding,88954
"Piece work has, therefore, a tendency, while raising individual wages above the average, to lower this average itself.",Marx,Capital,299106
"In short, representation may well become infinite; it nevertheless does not acquire the power to affirm either divergence or decentring.",Deleuze,Difference And Repetition,211785
"When Elizabeth Gurley Flynn died in at the age of seventy four, she had been active in Socialist and Communist causes for almost sixty years.",Davis,"Women, Race, And Class",359715
"Without this acknowledgment, which is not a knowledge, or let us say without this letting be of an existent (Other) as something existing outside me in the essence of what it is (first in its alterity), no ethics would be possible.",Derrida,Writing And Difference,203442
"The other way is that of reason constantly functioning in concealment, reason ceaselessly rationalizing sense data and always having them as already rationalized.",Husserl,The Crisis Of The European Sciences And Phenomenology,228072
"If the value created by a working day of hours be, say, six shillings, then, although the mass of the articles produced varies with the productiveness of labour, the only result is that the value represented by six shillings is spread over a greater or less number of articles. ).",Marx,Capital,298505
